Company,Website,Location,Description
ashibio,https://ashibio.com/,CA - Burlingame,Novel  therapeutics for the treatment of bone and connective tissue disorders
Clinuvel Pharmaceuticals,https://www.clinuvel.com/,CA - Burlingame,Small Molecules
Collaborative Drug Discovery,https://www.collaborativedrug.com/,CA - Burlingame,Biological & Chemical Database
Color,https://www.color.com/,CA - Burlingame,"Genetic testing, direct to consumer"
Corvus Pharmaceuticals,https://www.corvuspharma.com/,CA - Burlingame,Immuno-oncology
Genesis Therapeutics,https://genesis.ml/,CA - Burlingame,AI Drug Discovery
GT Apeiron,https://www.apeiron-bio.com/,CA - Burlingame,AI Drug Development
Hinge Bio,https://hingebio.com/,CA - Burlingame,Next-generation of multi-functional antibodies and Fc-fusion proteins
Iolyx Therapeutics,https://iolyx.com/,CA - Burlingame,Ophthalmology Therapies
Magnus Medical,https://www.magnusmed.com/,CA - Burlingame,Device for Depression Treatment
MiCareo,https://www.micareo.com/,CA - Burlingame,Rare Cell Analysis
Phoenix Pharmaceuticals,https://phoenixpeptide.com/,CA - Burlingame,"Peptides, Antibodies, Proteins"
Protein Fluidics,https://proteinfluidics.com/,CA - Burlingame,Microfluidic system that automates 3D-cell based (organoid) assays
RevMAB,https://www.revmab.com/,CA - Burlingame,Monoclonal Antibody Generation Technology
Tallac Therapeutics,https://www.tallactherapeutics.com/,CA - Burlingame,Novel Cancer Immunotherapies
Taran Therapeutics,https://www.tarantherapeutics.com/,CA - Burlingame,Monoclonal Antibody
Zenshine Pharmaceuticals,http://en.zenshine-pharma.com/,CA - Burlingame,Small Molecules
Atia Vision,https://atiavision.com/,CA - Campbell,Modular Presbyopia Correcting Intraocular Lens
CardioDiagnostics,https://www.cardiodiagnostics.net/,CA - Campbell,Cardiac Monitoring Services & Devices
Imperative Care,https://imperativecare.com/,CA - Campbell,Large Diameter Catheters for stroke care
Laza Medical,https://lazamedical.com/,CA - Campbell,AI-Powered Robotically-Assisted Imaging
List Biological Laboratories,https://listlabs.com/,CA - Campbell,"Bacterial Toxins, Contract Manufacturing"
NVIGEN,https://www.nvigen.com/,CA - Campbell,Nanoparticle Delivery for Imaging
Ostial Corporation,https://ostialflash.com/,CA - Campbell,Dual-balloon Stent
Saama Technologies,https://www.saama.com/,CA - Campbell,Clinical Trial Analytics
Simpson Interventions,https://www.simpsonint.com/,CA - Campbell,Visual guidance for effective cardiovascular interventions
VIVUS,https://www.vivus.com/,CA - Campbell,Small Molecules
Wainamics,https://wainamics.com/,CA - Campbell,Microfluidics Solutions
Cerus,https://www.cerus.com/,CA - Concord,"Medical Devices, Biotechnology"
Element,https://www.element.com/life-sciences,CA - Concord,"Global life sciences services. Benefit from CDMO, CRO, analytical, and central lab support."
1Cell.Ai,https://1cell.ai/,CA - Cupertino,Cancer Diagnostics
Durect,https://www.durect.com/,CA - Cupertino,Drug Delivery
MindRhythm,https://mindrhythm.com/,CA - Cupertino,Headset for Stroke Triage
PathomIQ,https://pathomiq.com/,CA - Cupertino,Cancer Phenotype Atlas
PyrAmes,https://pyrameshealth.com/,CA - Cupertino,"Continuous, Non-invasive Blood Pressure Monitoring"
Reviva Pharmaceuticals,https://revivapharma.com/,CA - Cupertino,Small Molecules
PinkDx,https://www.pinkdx.com/,CA - Daly City,Female-Focused Diagnostics
Auctus Surgical,https://auctussurgical.com/,CA - Danville,Tethering System for Scoliosis
Nexilico,https://nexilico.com/,CA - Danville,Computational Biology to Create Microbiome Treatments
Antibodies Incorporated,https://www.antibodiesinc.com/index.html,CA - Davis,"Antibodies, Assays, Development Services, Diagnostic kits, etc.."
ARIZ Precision Medicine,https://arizbio.com/,CA - Davis,Small Molecules
Buto,https://butocorp.com/,CA - Davis,Alzheimer's & Fibrotic Disease Treatments
EicOsis,https://www.eicosis.com/,CA - Davis,Inhibitors to a the soluble epoxide hydrolase
Expanesthetics,https://www.expanesthetics.com/,CA - Davis,Next-generation inhaled general anesthetics and non-opioid analgesics
Expression Systems,https://expressionsystems.com/,CA - Davis,Baculovirus Expression
Infinant Health,https://www.infinanthealth.com/,CA - Davis,Probiotic Bacteria
Matrubials,https://matrubials.com/home-1,CA - Davis,Milk-derived Therapies
Novozymes,https://www.novozymes.com/en,CA - Davis,"Enzymes, Biologic Reagents"
Resonetics,https://resonetics.com/,CA - Davis,Contract Medical Device Manufacturing & Development
Carl Zeiss Meditec,https://www.zeiss.com/meditec/en/home.html,CA - Dublin,Medical Devices
West Coast Research,https://westcoastresearch.com/,CA - Dublin,Clinical Research
eMed Technologies,https://www.emedtc.com/,CA - El Dorado Hills,Infusion System
Shalby Advanced Technologies,https://www.shalbytech.com/,CA - El Dorado Hills,Orthopedic Implants
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com/,CA - Emeryville,Gene Therapy
Abalone Bio,https://www.abalonebio.com/,CA - Emeryville,Antibody Therapies
Ansa Biotechnologies,https://ansabio.com/,CA - Emeryville,Next Generation DNA Synthesis
BiosPacific,https://www.biospacific.com/,CA - Emeryville,Antibodies and antigens
Dynavax Technologies,https://www.dynavax.com/,CA - Emeryville,"Synthetic oligonucleotides vaccines, adjuvants"
Eko Devices,https://www.ekohealth.com/,CA - Emeryville,Digital Stethoscope
Estrella Immunopharma,https://www.estrellabio.com/,CA - Emeryville,Combining CD19-Redirected ARTEMIS T Cells with cancer-labeling technology
Eureka Therapeutics,https://www.eurekatherapeutics.com/,CA - Emeryville,Antibodies
Fauna Bio,https://www.faunabio.com/,CA - Emeryville,Cross-Mammalian Genomics for Human Health
HOPO Therapeutics,https://www.hopotx.com/,CA - Emeryville,Heavy Metal Poisoning Prevention
InjectSense,https://www.injectsense.com/,CA - Emeryville,In-vivo monitoring of intra-ocular pressure to assess glaucoma therapy effectiveness
Kyverna Therapeutics,https://kyvernatx.com/,CA - Emeryville,Treg Cell Therapy for Autoimmune Diseases
Metagenomi,https://metagenomi.co/,CA - Emeryville,Gene-Edited Microbial Treatments
Milagen,https://www.milagen.com/,CA - Emeryville,"Tissue Analysis, Cancer Detection"
NovaBay Pharmaceuticals,https://novabay.com/,CA - Emeryville,Diagnostics
Novartis,https://www.novartis.com/,CA - Emeryville,Diagnostics
Nutcracker Therapeutics,https://www.nutcrackerx.com/,CA - Emeryville,Precision mRNA manufacturing platform
Octant Biotech,https://www.octant.bio/,CA - Emeryville,Small Molecules
OmniAb,https://www.omniab.com/,CA - Emeryville,Antibody repertoires and high-throughput screening technologies
Profluent,https://www.profluent.bio/,CA - Emeryville,AI Protein Creation
Profusa,https://profusa.com/,CA - Emeryville,Real-time biosensors
Prolific Machines,https://www.prolific-machines.com/,CA - Emeryville,Photomolecular platform for difficult-to-produce proteins
Radiance Therapeutics,https://www.radiancetherapeutics.com/,CA - Emeryville,Ophthalmic Applicator
RegCell,https://regcellbio.com/,CA - Emeryville,T Reg Therapies
Reservoir Neuroscience,https://www.reservoirneuro.com/,CA - Emeryville,Therapy to Heal Blood-Brain Barrier
Santen,https://www.santen.com/en,CA - Emeryville,Ophthalmics
Slingshot Biosciences,https://slingshotbio.com/,CA - Emeryville,Synthetic Cells
Totus Medicines,https://www.totusmedicines.com/,CA - Emeryville,Covalent Small Molecules
Triplebar,https://triplebar.com/,CA - Emeryville,Antibody Discovery Platform
CGT Global,https://cgt.global/,CA - Folsom,Tissue Sourcing
Peptide Systems,https://www.peptidesystems.com/,CA - Folsom,Research Peptides
Apollomics,https://www.apollomicsinc.com/,CA - Foster City,Cancer medicines
Asegua Therapeutics,https://www.asegua.com/,CA - Foster City,Authorized Gilead Generics
Cellanome,https://www.cellanome.com/,CA - Foster City,Multiomics Platform
Dren Bio,https://www.drenbio.com/,CA - Foster City,Protein Therapeutics
Geron,https://www.geron.com/,CA - Foster City,Small Molecule
Gilead,https://www.gilead.com/,CA - Foster City,Small Molecules
MicuRx Pharmaceuticals,https://www.micurxchina.com/en/home,CA - Foster City,Antibiotics
Mirum Pharmaceuticals,https://mirumpharma.com/,CA - Foster City,Small Molecules
OrthoTrophix,https://www.orthotrophix.com/,CA - Foster City,"Bone, cartilage and teeth therapies"
Pointcross Life Sciences,https://pointcrosslifesciences.com/,CA - Foster City,"Big data analytics, management, and visualization"
Signios Biosciences,https://www.signiosbio.com/,CA - Foster City,Diagnostics & Genomic Solutions
Terns Pharmaceuticals,https://www.ternspharma.com/,CA - Foster City,Small Molecules - Liver focus
TrueBinding,https://www.truebinding.com/,CA - Foster City,Biotherapeutics
Abcam,https://www.abcam.com/en-us,CA - Fremont,Antibodies
Alamar Biosciences,https://alamarbio.com/,CA - Fremont,Proteomic Liquid Biopsy Platform
AlterG,https://alterg.com/,CA - Fremont,Anti-gravity treadmill
AnaSpec,https://www.anaspec.com/en/,CA - Fremont,"Peptides, Antibodies, Reagents"
AnchorDx,https://www.anchordx.com/,CA - Fremont,High-throughput sequencing platform
Applied Viromics,https://www.appliedviromics.com/,CA - Fremont,Custom-made recombinant viral vectors
APstem Therapeutics,https://apstemtx.com/,CA - Fremont,Stem Cell Technology
Arbor Vita,https://www.arborvita.com/,CA - Fremont,Diagnostics
Ardelyx,https://ardelyx.com/,CA - Fremont,Gastrointestinal Therapeutics
Ark Diagnostics,https://ark-tdm.com/,CA - Fremont,Serum / Plasma Assays
Averto Medical,https://www.avertomed.com/,CA - Fremont,Ostomy Avoidance
BioGenex,https://biogenex.com/,CA - Fremont,"Cellular & Molecular Diagnostics, Biotech Reagents"
Bionova Scientific,https://bionovascientific.com/,CA - Fremont,Full-service Biologics CDMO
Biotium,https://biotium.com/,CA - Fremont,Fluorescent Reagents
Boehringer Ingelheim,https://www.boehringer-ingelheim.com/,CA - Fremont,"Large molecule, biomanufacturing"
Celltrio,https://celltrio.com/,CA - Fremont,Life Science Robotics
CoaguSense,https://coag-sense.com/,CA - Fremont,Coagulation monitor
Confluent Medical Technologies,https://confluentmedical.com/,CA - Fremont,"Contract Medical Devices, Nitinol, Catheters, Textiles"
Cytek Biosciences,https://cytekbio.com/,CA - Fremont,Flow Cytometers
eLum Technologies,http://elumtech.com/,CA - Fremont,Medical Devices
Encoll,https://encoll.com/,CA - Fremont,Collagen products
Innovative Device Technologies,https://idtechllc.com/,CA - Fremont,Product Development
Moximed,https://moximed.com/,CA - Fremont,Joint treatment
Neodyne Biosciences,https://www.embracescartherapy.com/,CA - Fremont,Scar Therapy
NeuralInk,https://neuralink.com/,CA - Fremont,Neural Implants
Novo Nordisk,https://www.novonordisk.com/,CA - Fremont,Regenerative medicine and stem cell therapies
Omicsveu,https://omicsveu.com/,CA - Fremont,"Spatial Biology, Multi-omics"
Paragon Genomics,https://www.paragongenomics.com/,CA - Fremont,Sequencing tools
Personalis,https://www.personalis.com/,CA - Fremont,Genome Services
Q'Apel Medical,https://qapelmedical.com/,CA - Fremont,Vascular Access Devices
Rhausler,https://www.rhausler.com/,CA - Fremont,Implants & Instrumentation for spine surgery
Thermo Fisher,https://www.thermofisher.com/us/en/home.html,CA - Fremont,Lab Supplies and Equipment
THINK Surgical,https://thinksurgical.com/,CA - Fremont,Digital surgical planning
Tivic,https://tivichealth.com/,CA - Fremont,"Biologics, Bioelectronics"
Viant Medical,https://viantmedical.com/,CA - Fremont,Contract Medical Devices
VM Oncology,https://www.vmoncology.com/,CA - Fremont,Precision Oncology Drugs
Zeda,https://www.z8a.com/,CA - Fremont,3D-printed Nanotech Spinal Devices
Limb Preservation Platform,https://www.lppresearch.com/,CA - Fresno,Clinical Research
AltiBio,https://www.altibio.bio/,CA - Half Moon Bay,Drugs
GenNext Technologies,https://gnxtech.com/,CA - Half Moon Bay,Protein Structural Analysis
92Bio,https://92biotech.com/,CA - Hayward,Design of multispecific biologics for the treatment of cancer
Aarvik Therapeutics,https://aarviktx.com/,CA - Hayward,Antibody-Drug Conjugates
Ab Studio,https://www.antibodystudio.com/,CA - Hayward,Antibody humanization and optimization service
Accuryn Medical,https://accuryn.com/,CA - Hayward,Patient monitoring systems and devices
Applied Biomics,https://www.appliedbiomics.com/,CA - Hayward,Proteomics services & products
Aqtual,https://aqtual.com/,CA - Hayward,Cell-free DNA Diagnostics
Arcus Biosciences,https://arcusbio.com/,CA - Hayward,Cancer Immunotherapies
Avirmax,https://avirmax.com/,CA - Hayward,rAAV-mediated Gene Therapy Technology
Benitec Biopharma,https://www.benitec.com/,CA - Hayward,DdRNAi
Binacea Pharma,https://binaceapharma.com/,CA - Hayward,Cancer Antibodies
BioAssay Systems,https://bioassaysys.com/,CA - Hayward,Assays
Biolog,https://www.biolog.com/,CA - Hayward,Cell Phenotyping Technology
DiaCarta,https://www.diacarta.com/,CA - Hayward,Molecular Diagnostics Tests
DuneX Biosciences,https://dunexbio.com/,CA - Hayward,"CRISPR screens, SB stable cell lines, and yeast-display antibody discovery CRO"
Elim Biopharm,https://www.elimbio.com/,CA - Hayward,Life Science Services
Endiatx,https://endiatx.com/,CA - Hayward,Pill-sized Robot
EPOK Therapeutics,https://epoktherapeutics.com/,CA - Hayward,EPOR receptor agonist
Frontage,https://www.frontagelab.com/,CA - Hayward,"Contract Research & Development, Clinical Services, CMC Services"
Frontier Bio,https://www.frontierbio.com/,CA - Hayward,Engineered Tissues for Medical Testing
Garner Biosolutions,https://www.garnerbio.com/,CA - Hayward,Biospecimen Procurement
GenEndeavor,https://genendeavor.com/,CA - Hayward,Diagnostics
HealthBio AI,https://www.healthbioai.com/,CA - Hayward,Molecular Diagnostics
Illumina,https://www.illumina.com/,CA - Hayward,"Genomic tools, research products, molecular diagnostics, NGS"
Kryptos Biotechnologies,https://kryptosbio.com/,CA - Hayward,Diagnostics
Lusis,https://www.lusisbio.com/,CA - Hayward,Diagnostics
Lusis Biosciences,https://www.lusisbio.com/,CA - Hayward,Benchtop Diagnostics
Lygos,https://www.lygos.com/,CA - Hayward,Biologically-derived specialty chemicals
Meadowhawk Biolabs,https://www.meadowhawkbiolabs.com/,CA - Hayward,Small & Large Molecule CRO
"Multispan, Inc.",https://multispaninc.com/,CA - Hayward,"GPCR cell lines, assays and screening"
Novodiax,https://www.novodiax.com/,CA - Hayward,"Companion Diagnostics, IVD & RUO 10 min Intraoperative IHC"
Pharmatech Associates,https://pharmatechassociates.com/,CA - Hayward,Consultants
Predicine,https://www.predicine.com/,CA - Hayward,Liquid Biopsy
Pulse Biosciences,https://www.pulsebiosciences.com/,CA - Hayward,Nano-pulse Stimulation Device
Quartzy,https://www.quartzy.com/,CA - Hayward,Lab Management Software
Quintara Bio,https://www.quintarabio.com/,CA - Hayward,DNA Sequencing
Quintara Bio,https://www.quintarabio.com/,CA - Hayward,DNA Sequencing
Quintara Discovery,https://qdibio.com/,CA - Hayward,"In vitro ADME profiling, bioanalysis services, and dedicated assay development and compound screening"
RefleXion Medical,https://reflexion.com/,CA - Hayward,Biology-guided Radiotherapy
Rondo Therapeutics,https://www.rondotx.com/,CA - Hayward,"Immuno-oncology platform for treating solid tumors, Bispecific Antibodies"
Bio-Rad,https://www.bio-rad.com/,CA - Hercules,Research & Diagnostic Products
Pacific BioLabs,https://pacificbiolabs.com/,CA - Hercules,Analytical Services
X-Therma,https://x-therma.com/,CA - Hercules,Preservation Platform
Charles River Laboratories,https://www.criver.com/,CA - Hollister,Research Animal Models and Preclinical Research
Teknova,https://www.teknova.com/en.html,CA - Hollister,"Lab Supplies, Reagents"
