Company,Website,Location,Description
Alstem,https://www.alstembio.com/web/,CA - Richmond,"IPS Generation, Cell Lines, Cytokines, Proteins, etc."
Bio-Rad,https://www.bio-rad.com/,CA - Richmond,Research & Diagnostic Products
BioAge Labs,https://bioagelabs.com/,CA - Richmond,Computational platform that explores a universe of proprietary and public data to identify and target the molecular factors that influence longevity
Elutia,https://elutia.com/,CA - Richmond,Drug-eluting biomatrix
Innovex Biosciences,https://innovexbio.com/,CA - Richmond,Research products
JOINN Biologics,https://www.joinnbio.com/,CA - Richmond,Biologics CDMO
Promab Biotechnologies,https://www.promab.com/,CA - Richmond,"Services and products in mRNA-LNP, CAR-T/CAR-NK, antibody & bispecific antibody, proteins & cytokines, nanoparticle formulation"
Sangamo Therapeutics,https://www.sangamo.com/,CA - Richmond,Biologics
Cell Marque,https://www.cellmarque.com/cms/index.php,CA - Rocklin,"Antibodies, etc."
Epirium Bio,https://epirium.com/,CA - Sacramento,Mitochondria Targeting
Hand Biomechanics Lab,https://handbiolab.com/,CA - Sacramento,Hand Corrective Devices
Immuno Concepts,https://immunoconcepts.com/,CA - Sacramento,Diagnostics
LabyRx Immuno-Oncology,https://labyrx.com/,CA - Sacramento,Monoclonal Antibody
NeOnc Technologies,https://neonc.com/,CA - Sacramento,Non-invasive cancer therapies
NeuroVision Imaging,https://www.neurovision.com/,CA - Sacramento,Medical device for retinal autofluorescence
Nivagen,https://nivagen.com/,CA - Sacramento,"Generics, 505(b)(2)"
StemCardia,https://www.stemcardia.com/,CA - Sacramento,Cell & gene therapies engineered to repair the heart
Telix Pharmaceuticals,https://telixpharma.com/,CA - Sacramento,Radio immunotherapy
Therini Bio,https://www.therinibio.com/,CA - Sacramento,Monoclonal Antibody
Verndari,https://www.verndariinc.com/,CA - Sacramento,Vaccine Delivery Technology
Accelero Biostructures,https://www.accelerobio.com/,CA - San Carlos,High-throughput protein X-ray crystallography-driven drug discovery and structural biology solutions
Acrobat Genomics,https://www.acrobatgenomics.com/,CA - San Carlos,CRISPR Drug Discovery
Acurex Biosciences,https://www.acurex.com/,CA - San Carlos,Neurodegenerative Treatments
Aequita Bioworks,https://www.aequitabioworks.com,CA - San Carlos,Antibodies for Muscle Loss Reduction
Alessa Therapeutics,https://alessatherapeutics.com/,CA - San Carlos,Local delivery of anti-androgen therapy
Alkahest,https://www.alkahest.com/,CA - San Carlos,Aging therapy using blood components
Altay Therapeutics,https://www.altaytherapeutics.com/,CA - San Carlos,Small molecules for liver disease and cancer
Anwita Biosciences,https://www.anwitabio.com/,CA - San Carlos,Antibodies & Fusion Proteins
Aptah Bio,https://www.aptah-bio.com/,CA - San Carlos,RNA Integrity Restoration
Arda Therapeutics,https://ardatx.com/,CA - San Carlos,Pathogenic Cell Depletion via ADCs
Atropos Therapeutics,https://www.atroposthera.com/,CA - San Carlos,Small Molecules Targeting Senescence
Attovia Therapeutics,https://www.attovia.com/,CA - San Carlos,Proprietary biparatopic nanobody platform
BeOne Medicines,https://beonemedicines.us/,CA - San Carlos,"Small Molecules, Monoclonal Antibodies"
BioAmp Diagnostics,https://bioampdx.com/,CA - San Carlos,Diagnostics to counteract antibiotic resistance
Cache DNA,https://www.cache-dna.com/,CA - San Carlos,Biomolecule Preservation
CAGE Bio,https://cagebio.com/,CA - San Carlos,Deep Eutectic Ionic Liquids for Therapeutics
Clear Labs,https://www.clearlabs.com/,CA - San Carlos,Automated Next-Generation Sequencing Platforms for Pathogen Detection and Genomic Surveillance
CuraSen Therapeutics,https://www.curasen.com/,CA - San Carlos,Small Molecules
Cystetic Medicines,https://cysteticmedicines.com/,CA - San Carlos,Small molecule channels that serve as molecular prosthetics for missing or dysfunctional CFTR protein
Diffuse Bio,https://www.diffuse.bio/,CA - San Carlos,Generative AI for Protein Design
Elegen,https://elegenbio.com/,CA - San Carlos,DNA writing
Empirical Spine,https://www.limiflex.com/,CA - San Carlos,Spinal Stenosis Device
Engage Bio,https://www.engagebio.com/,CA - San Carlos,Tethosome Gene Therapy
Epinoma,https://www.epinoma.com/,CA - San Carlos,Methyl-preserving amplification technology
Eugit Therapeutics,https://www.eugittx.com/,CA - San Carlos,Tissue Targeting Therapies
Factorial Biotechnologies,https://factorial.bio/,CA - San Carlos,Diagnostics
Galvanize Therapeutics,https://galvanizetx.com/,CA - San Carlos,Bronchoscopic therapy that delivers non-thermal pulsed electric fields to the airways
GigaGen,https://www.gigagen.com/,CA - San Carlos,Immune therapeutics
Glycomine,https://www.glycomine.com/,CA - San Carlos,Glycosylation corrective therapy
IHP Therapeutics,https://www.ihptherapeutics.com/,CA - San Carlos,Drug Development for Urgent Medical Needs
Integrated Biosciences,https://integratedbiosciences.com/,CA - San Carlos,Synthetic biology technology to discover drugs targeting stressed cells
International Process Solutions,https://ips-us.com/,CA - San Carlos,"Calibration, validation, preventative maintenance, and data management services"
Iovance Biotherapeutics,https://www.iovance.com/,CA - San Carlos,Adoptive Cell Therapy
Moon Surgical,https://www.moonsurgical.com/,CA - San Carlos,Robotic Surgery System
Mountain View Pharmaceuticals,http://www.mvpharm.com,CA - San Carlos,Drug Delivery
Natera,https://www.natera.com/,CA - San Carlos,Prenatal Testing
Nautilus Biotechnology,https://www.nautilus.bio/,CA - San Carlos,"High-throughput, low-cost platform for analyzing and quantifying the human proteome"
NAVAN Technologies,https://www.navanbio.com/,CA - San Carlos,Cellular Transfection Technology
Noah Medical,https://www.noahmed.com/,CA - San Carlos,Surgical Imaging
Pandorum Technologies,https://pandorum.com/,CA - San Carlos,Tissue Engineering
Paramune,https://www.paramune.com/,CA - San Carlos,Biologic therapies for inflammatory diseases and cancer
Phinomics,https://www.phinomics.com/,CA - San Carlos,Circular DNA
PTM Therapeutics,https://www.ptmthera.com/,CA - San Carlos,Monoclonal Antibodies
Qinotto,https://www.qinotto.com/,CA - San Carlos,Next-generation transport vehicles to deliver large molecule therapeutics to the brain
Range Biotechnologies,https://www.range.bio/,CA - San Carlos,Proteomics
Regencor,https://www.regencor.com/,CA - San Carlos,Biologic for Heart Regeneration
Siolta Therapeutics,https://www.sioltatherapeutics.com/,CA - San Carlos,Gut Microbiome Modification
Tradewind Bioscience,https://tradewindbio.com/,CA - San Carlos,Antibody Therapy
TRIO Pharmaceuticals,https://www.triopharmaceuticals.com/,CA - San Carlos,Cancer Immunotherapeutics
TwoStep Therapeutics,https://twosteptx.com/,CA - San Carlos,PIP Therapies
VaxCyte,https://vaxcyte.com/,CA - San Carlos,Conjugate vaccines and protein-based vaccines
ZAP Surgical,https://zapsurgical.com/,CA - San Carlos,Non-invasive Brain Tumor Treatment
1cBio,https://www.1cbio.com/,CA - San Francisco,Small molecule to target hypophosphatasia
64x Bio,https://64xbio.com/,CA - San Francisco,High throughput discovery and design of enhanced cell lines for next-generation biomanufacturing and therapeutics
89bio,https://89bio.com/,CA - San Francisco,Liver Treatments
Achira,https://achira.ai/,CA - San Francisco,Atomistic foundation simulation models to power the future of drug discovery
Adventris Pharmaceuticals,https://www.adventris.com/,CA - San Francisco,Cancer Immunotherapy
Aelan Cell Technologies,http://aelanct.com/,CA - San Francisco,Stem Cell Technology
Aion Medicines,https://www.aionmedicines.com/,CA - San Francisco,Ultra Long Lasting Medicines
Aizon,https://www.aizon.ai/,CA - San Francisco,AI for Pharma Manufacturing
Algen Biotechnologies,https://www.algenbio.com/,CA - San Francisco,Gene Network Drug Discovery Services
Alife,https://www.alifehealth.com/,CA - San Francisco,AI-powered IVF
Alixia,https://www.alixia.com/,CA - San Francisco,Tumor Therapies
Allelica,https://allelica.com/,CA - San Francisco,Polygenic Panels
ALLInBio,https://allinbio.com/,CA - San Francisco,Precision Immunology
AltruBio,https://www.altrubio.com/altrubio/en,CA - San Francisco,Antibody Therapeutics
Aluna,https://alunacare.com/,CA - San Francisco,Asthma Tracking Device
Amber Bio,https://www.amber.bio/,CA - San Francisco,Gene Editing Platform
Amprion,https://www.ampriondx.com/,CA - San Francisco,Brain Health Diagnostics
Apellis Pharmaceuticals,https://apellis.com/,CA - San Francisco,Cyclic peptide analog
Attune Neurosciences,https://www.attuneneuro.com/,CA - San Francisco,Non-invasive neurostimulation products
Avvio Medical,https://avviomedical.com/,CA - San Francisco,Kidney Stone Treatment
Axiom,https://axi.om/,CA - San Francisco,AI Toxicity Modeling
Benchling,https://www.benchling.com/,CA - San Francisco,Biotech Software
Bioprocess AI,https://www.bioprocess.ai/,CA - San Francisco,CMC Automation
BioQ Pharma,https://bioqpharma.com/,CA - San Francisco,Drug infusion systems
Bodyport,https://www.bodyport.com/,CA - San Francisco,Biomarker-guided digital therapeutics
Bone Health Technologies,https://www.osteoboost.com/,CA - San Francisco,Mechanical Bone Stimulation
BrainKey,https://www.brainkey.ai/,CA - San Francisco,AI for MRI analysis
Braveheart Bio,https://www.braveheart.bio/,CA - San Francisco,Therapeutics for hypertrophic cardiomyopathy and related conditions
Bullseye Biosciences,https://www.bullseyebio.com/,CA - San Francisco,Vascularized Organs
Cairn Biosciences,https://www.cairnbio.com/,CA - San Francisco,Live cell assays
Capulus Therapeutics,https://www.capulustx.com/,CA - San Francisco,Small Molecules
Cellares,https://www.cellares.com/,CA - San Francisco,Cell Therapy Manufacturing Technology
Cellastra,https://www.cellastra.com/,CA - San Francisco,Anti-scarring gene therapy/peptides
CellSight Technologies,https://cellsighttech.com/,CA - San Francisco,Cancer immunotherapy imaging
Chai Discovery,https://www.chaidiscovery.com/,CA - San Francisco,AI Antibody Discovery
CloudCath,https://www.cloudcath.com/,CA - San Francisco,Remote Catheter Monitoring Platform
CoA Therapeutics,https://coatherapeutics.com/,CA - San Francisco,Drugs targeting Coenzyme-A
Coherence Neuro,https://coherenceneuro.com/,CA - San Francisco,Cancer Therapy Wearable
Compugen,https://cgen.com/,CA - San Francisco,Biologics
Concentric Analgesics,https://www.concentricanalgesics.com/,CA - San Francisco,Drug discovery & development
Curebase,https://www.curebase.ai/,CA - San Francisco,Clinical Software
Cypre,https://cypre.com/,CA - San Francisco,3D tumor modeling platform
Darmiyan,https://darmiyan.com/,CA - San Francisco,Brain Imaging
Deciduous Therapeutics,https://www.deciduoustx.com/,CA - San Francisco,Medicines that activate the endogenous immune mechanism responsible for the elimination of senescent cells
Deep Apple Therapeutics,https://deepappletx.com/,CA - San Francisco,Oral small molecule
Delve Bio,https://www.delve.bio/,CA - San Francisco,Metagenomic NGS Diagnostics
Dispatch Bio,https://dispatchbio.com/,CA - San Francisco,Immuno-oncology
Element Science,https://elementscience.com/,CA - San Francisco,Wearable device to prevent cardiac death
Eliquent Life Sciences,https://eliquent.com/,CA - San Francisco,Regulatory & Compliance Consulting
Enabled Therapeutics,https://enabledtherapeutics.com/,CA - San Francisco,Small Molecule Captons
Endogena Therapeutics,https://endogena.com/,CA - San Francisco,Regenerative Medicine
Endometrics,https://endometrics.us/,CA - San Francisco,Non-invasive test for endometriosis
Endurance Bio,https://www.endurance-bio.com/,CA - San Francisco,Oral Small Molecules
Ensho Therapeutics,https://www.enshorx.com/,CA - San Francisco,Small Molecules Targeting IBD
Eolo Pharma,https://eolo-pharma.com/,CA - San Francisco,Obesity Treatment
Epiodyne,https://epiodyne.com/,CA - San Francisco,Small Molecule
EV Therapeutics,https://www.evtherapeutics.com/,CA - San Francisco,Extracellular Vesicle Delivery
Everest Detection,https://everestdetection.com/,CA - San Francisco,Cancer Diagnosis
Exavir Therapeutics,https://www.exavirtherapeutics.com/,CA - San Francisco,HIV antiviral
ExcepGen,https://www.excepgen.com/,CA - San Francisco,RNA Therapeutics Platform
Excision BioTherapeutics,https://www.excision.bio/,CA - San Francisco,Gene Editing
Faeth Therapeutics,https://www.faeththerapeutics.com/,CA - San Francisco,Nutrition Program to Enhance Cancer Therapy
FibroGen,https://www.fibrogen.com/,CA - San Francisco,"Biologics, Small Molecules"
GABAeron,https://gabaeron.com/,CA - San Francisco,"Stem-Cell Based Therapy for Alzheimer's, Small Molecules"
Gel Company,https://gelcompany.com/,CA - San Francisco,Gel Imaging
General Proximity,https://www.generalproximity.bio/,CA - San Francisco,Induced-Proximity Medicines
GenexGen,https://www.genexgen.com/,CA - San Francisco,Restoring Immune Balance
GigaMune,https://www.gigamune.com/,CA - San Francisco,Cell Therapies for Solid Tumors
Glycyx,https://www.glycyx.com/,CA - San Francisco,Opioid negation in in cancer immunotherapy
Gordian Biotechnology,https://www.gordian.bio/,CA - San Francisco,Drug Screening Platform
Gravitas Medical,https://www.gravitasmedinc.com/,CA - San Francisco,Feeding Tube Monitor
GT Biopharma,https://www.gtbiopharma.com/,CA - San Francisco,"Antioxidant Therapeutics, Antibodies"
Hepta,https://www.hepta.bio/,CA - San Francisco,Liquid Biopsy
Hermes Biosciences,https://www.hermesbio.com/,CA - San Francisco,Hands-off system for the isolation of extracellular vesicles
Herophilus,https://www.herophilus.com/,CA - San Francisco,Phenotypic screening to discover novel drugs for complex neurological and psychiatric diseases
Humanity Neurotech,https://www.humanityneurotech.com/,CA - San Francisco,Brain devices
Icosagen Cell Factory,https://www.icosagen.com/,CA - San Francisco,"Icosagen: Recombinant Antibodies, Proteins from Mammalian Cells"
Idience,https://www.idience.com/,CA - San Francisco,Cancer Therapies
ImmuneBridge,https://www.immunebridge.com/,CA - San Francisco,Allogeneic immunotherapies for cancer
Indapta Therapeutics,https://indapta.com/,CA - San Francisco,allogeneic FcR?-deficient natural killer cells
Innophore,https://innophore.com/,CA - San Francisco,Structural Sequencing Software and AI
InsightRX,https://www.insight-rx.com/,CA - San Francisco,Dosing Model
Interdict,https://www.interdictbio.com/,CA - San Francisco,Small Molecules
Invert,https://invertbio.com/,CA - San Francisco,Software product for bioprocess development and scale-up
iRhythm Technologies,https://www.irhythmtech.com/us/en,CA - San Francisco,Remote heart analysis
Jade Biosciences,https://jadebiosciences.com/,CA - San Francisco,Autoimmune Therapies
Junevity,https://www.junevity.com/,CA - San Francisco,Long-lasting siRNA Therapies
Kerna Labs,https://kernalabs.ai/,CA - San Francisco,AI and high-throughput biology - RNA therapeutics
Keylika,https://www.keylika.com/,CA - San Francisco,Transdermal Iron Patch
KHN Solutions/BACTrack,https://www.bactrack.com/,CA - San Francisco,BAC meter
Kivu Bioscience,https://kivubioscience.com/,CA - San Francisco,ADCs
KlyneAI,https://www.klyne.ai/,CA - San Francisco,CRO for in silico hit discovery
KuriBio,https://www.kuribio.com/,CA - San Francisco,Nanoparticles to treat B-cell lymphoma
Laguna Biotherapeutics,https://www.lagunabio.com/,CA - San Francisco,Microbe to Activate Immune Cells
LatchBio,https://latch.bio/,CA - San Francisco,Cloud bioinformatics platform to help biological teams accelerate their R&D.
Latent Labs,https://www.latentlabs.com/,CA - San Francisco,AI models to design and optimize proteins
Level Zero Health,https://www.levelzerohealth.com/,CA - San Francisco,Continuous Hormone Monitoring
LifeActive Bio,https://lifeactivebio.com/,CA - San Francisco,Biomaterials for Drug Delivery
Lighthouse Pharmaceuticals,https://www.lighthousepharma.com/,CA - San Francisco,Small molecule protease inhibitors
Lyric Bio,https://www.lyricbio.com/,CA - San Francisco,"Therapeutics Manufacturing Technology, Bioreactors"
MakroCare,https://www.makrocare.com/,CA - San Francisco,Drug Development Partner
MCLAB,https://mclab.com/,CA - San Francisco,"Molecular biology reagents, enzymes, PCR/qPCR kits, cloning kits, protein purification solutions and genomic services"
Medeloop,https://www.medeloop.ai/,CA - San Francisco,AI Clinical Research Platform
Medium Biosciences,https://medium.bio/,CA - San Francisco,AI-designed Protein Therapeutics
Medrio,https://medrio.com/,CA - San Francisco,Clinical Trial Software
Meliora Therapeutics,https://www.melioratherapeutics.com/,CA - San Francisco,Mechanism-focused Oncology Drugs
Mithrl,https://www.mithrl.com/,CA - San Francisco,NGS Data Software
Montara Therapeutics,https://montaratx.com/,CA - San Francisco,Duel Composition Brain-Targeting Drugs
Moxie Clinical,https://www.moxieclinical.com/,CA - San Francisco,Clinical Consulting & Services
Multiply Labs,https://multiplylabs.com/,CA - San Francisco,Robotics for Cell Therapy Manufacturing
Myka Labs,https://myka.bio/,CA - San Francisco,AI-based integrated solutions for interventional oncology
Navire Pharma,https://navirepharma.com/,CA - San Francisco,Small Molecules Targeting SHP2
Nebula Genomics,https://nebula.org/,CA - San Francisco,"Consumer Sequencing, Blockchain, Selling Personal Data, George Church, etc"
Nektar Therapeutics,https://www.nektar.com/,CA - San Francisco,"Small Molecules, Biologics"
neuro42,https://www.neuro42.ai/,CA - San Francisco,"MRI, Robotic/AI platform"
Numerion Labs,https://numerionlabs.ai/,CA - San Francisco,AI for Drug Discovery
Nurix Therapeutics,https://www.nurixtx.com/,CA - San Francisco,"Small Molecules, Protein Degradation"
Nuvation Bio,https://nuvationbio.com/,CA - San Francisco,Oncology Treatments
Olema Oncology,https://olema.com/,CA - San Francisco,CAR T brake
Omniox,https://www.omniox.com/,CA - San Francisco,Novel Biologics
OncoBox,https://oncobox.com/,CA - San Francisco,Oncology Therapy Selection
Opal Therapeutics,https://www.opaltherapeutics.com/,CA - San Francisco,Uterine Organoids
OpenBench,https://www.opnbnch.com/,CA - San Francisco,Small Molecule Screening
Ophirex,https://www.ophirex.com/,CA - San Francisco,Snakebite treatment
Orbits Oncology,https://www.orbits-oncology.com/,CA - San Francisco,Digital Organoid Analysis Platform
Ouro Medicines,https://www.ouromedicines.com/,CA - San Francisco,Bispecific Antibody
ParcelBio,https://parcelbio.com/,CA - San Francisco,Next-generation mRNA medicines
Particella,https://particella.bio/,CA - San Francisco,Oral lipid nanoparticle technology to deliver nucleic acids to the intestinal epithelium
Perfuse Therapeutics,https://perfusetherapeutics.com/,CA - San Francisco,Therapies for Eye Disease
Piccolo Medical,https://www.piccolomedical.com/,CA - San Francisco,Catheter Navigation Platform
Pinpoint Science,https://www.pinpointscience.com/,CA - San Francisco,Bioelectronic Diagnostics
Potrero Hill Therapeutics,https://potrerohilltherapeutics.com/,CA - San Francisco,Portfolio of Drug Companies
Pragma Bio,https://www.pragmabio.com/,CA - San Francisco,Microbial-derived small molecules
ProLynx,https://prolynxinc.com/,CA - San Francisco,"Drug delivery technology platform, half-life extension"
Prosetta Biosciences,https://prosetta.com/,CA - San Francisco,Small Molecule antivirals
PulmoSIM Therapeutics,https://www.pulmosimtx.com/,CA - San Francisco,Artificial intelligence bio-simulation platform
Qualio,https://www.qualio.com,CA - San Francisco,Life Sciences Quality Management System
Rad AI,https://www.radai.com/,CA - San Francisco,Radiology Software
ReacX Pharmaceuticals,https://reacxpharma.com/,CA - San Francisco,Innovative drug delivery platform
Recognify Life Sciences,https://www.recognify.life/,CA - San Francisco,Psychedelics
ResVerlogiX,https://www.resverlogix.com/,CA - San Francisco,Small Molecules
Retro Biosciences,https://www.retro.bio/,CA - San Francisco,Cell reprogramming
Revagenix,https://www.revagenix.com/,CA - San Francisco,Antibiotics
Revel Pharmaceuticals,https://revelpharmaceuticals.com/,CA - San Francisco,Therapeutic Enzymes
Rezo Therapeutics,https://rezotx.com/,CA - San Francisco,
Rila Therapeutics,https://rilatx.com/,CA - San Francisco,Renal fibrosis treatments
Rio Pharmaceuticals,https://riopharmaceuticals.com/,CA - San Francisco,Neurological Disease Quantification
Rune Labs,https://www.runelabs.io/,CA - San Francisco,Brain data analysis platform
Sardona Therapeutics,https://www.sardonatx.com/,CA - San Francisco,Small molecules to target RNA-binding proteins
SciGenom,https://www.scigenom.com/,CA - San Francisco,"Next-gen sequencing services, bioinformatics"
Shasqi,https://www.shasqi.com/,CA - San Francisco,Local Drug Activation
Shennon Biotechnologies,https://www.shennonbio.com/,CA - San Francisco,Proprietary single cell platform to create more effective immunotherapies
Sira Medical,https://siramedical.com/,CA - San Francisco,Augmented reality surgical software
Siren Biotechnology,https://sirenbiotechnology.com/,CA - San Francisco,AAV Immuno-Gene Therapy
Solaris Medical Technology,https://solarismedtech.com/,CA - San Francisco,Patient Monitoring Systems
Speech Buddies,https://www.speechbuddy.com,CA - San Francisco,Speech therapy device
Stamm Biotech,https://www.stamm.bio/,CA - San Francisco,Biomanufacturing Platform
Stately Bio,https://statelybio.com/,CA - San Francisco,ML Cell Imaging
Strategikon Pharma,https://strategikon.com/,CA - San Francisco,Digital tools for the business side of clinical trials.
Surge,https://www.surge.care/,CA - San Francisco,Machine learning algorithms to decode a patient's immune system from a blood sample for outcome prediction
Swing Therapeutics,https://swingtherapeutics.com/,CA - San Francisco,Digital Therapeutics
Synthetic Design Lab,https://www.syntheticdesignlab.com/,CA - San Francisco,ADCs
SyntheX,https://synthexlabs.com/,CA - San Francisco,Discovery of treatments for undruggable proteins
tag.bio,https://www.tag.bio/,CA - San Francisco,AI Data Platform
Tasman Therapeutics,https://www.tasmantherapeutics.com/,CA - San Francisco,Oral Extended Release Ketamine
Teal Health,https://www.getteal.com/,CA - San Francisco,At-home Cervical Cancer Screening
Telo Therapeutics,https://telotherapeutics.com/,CA - San Francisco,Personalized medicine
Tempo Bioscience,https://www.tempobioscience.com/,CA - San Francisco,"Stem cell models, biosensor assay services, disease modeling"
Tetsuwan Scientific,https://tetsuwan.com/,CA - San Francisco,Lab Automation
TheraNova,https://www.theranova.com/,CA - San Francisco,Medical Device Incubator
Therna Biosciences,https://www.therna.com/,CA - San Francisco,RNA Therapies
Third Wave Analytics,https://thirdwaveanalytics.com/,CA - San Francisco,"The world’s first user-friendly biotech LIMS built for research, NGS, clinical and GMP labs"
TippingPoint Biosciences,https://www.tippingpointbiosciences.com/,CA - San Francisco,Therapies for Chromatin Dysfunction Indications
Topos Bio,https://toposbio.ai/,CA - San Francisco,AI Drug Design
Trilo Therapeutics,http://trilotherapeutics.com/,CA - San Francisco,PPI inhibitors
Trilobio,https://www.trilo.bio/,CA - San Francisco,Lab Automation
Unlearn,https://www.unlearn.ai/,CA - San Francisco,Machine-learning technology that creates digital twins of patients in clinical trials
Until Labs,https://www.untillabs.com/,CA - San Francisco,Reversible Cryopreservation for Organ Procurement
Verana Health,https://www.veranahealth.com/,CA - San Francisco,Clinical Database
VeriSIM Life,https://www.verisimlife.com/,CA - San Francisco,Biosimulations
Viage Therapeutics,https://www.viagetx.com/,CA - San Francisco,Neurotherapeutics Acting on Gut
VIAL Dermatology CRO,https://vial.com/,CA - San Francisco,"Computation Drug Discovery, Clinical Trial Software"
VIAN Therapeutics,https://www.viantx.com/,CA - San Francisco,Antiangiogenic for treating retinal blinding diseases
ViCardia Therapeutics,https://www.vicardia.com/,CA - San Francisco,Heart Failure Therapies
Videra Surgical,https://www.viderasurgical.com/,CA - San Francisco,Breast Marker for Orientation during cancer intervention
Vir Biotechnology,https://www.vir.bio/,CA - San Francisco,Infectious disease therapies
Viz.ai,https://www.viz.ai/,CA - San Francisco,Healthcare Image Analysis
Xcell Biosciences,https://www.xcellbio.com/,CA - San Francisco,Cell culturing system
Ximedica,https://www.ximedica.com/,CA - San Francisco,Medical Device Services
Y-Trap,https://www.y-trap.com/,CA - San Francisco,Novel platform of targeted multifunctional immunomodulatory antibody-ligand traps for cancer immunotherapy
YourChoice Therapeutics,https://www.yourchoicetx.com/,CA - San Francisco,Birth Control
Zenith Epigenetics,https://www.zenithepigenetics.com/,CA - San Francisco,Orally-active small molecules
Zeon Systems,https://www.zeonsystems.ai/,CA - San Francisco,Lab Automation
ZoneOne Pharma,https://www.zoneonepharma.com/,CA - San Francisco,Liposome Services
Aayam Therapeutics,https://aayamtx.com/,CA - San Jose,505(b)(2)
AbboMax,https://www.abbomax.com/,CA - San Jose,"Antibody, peptide, and assay product and service provider"
AccuraGen,https://www.accuragen.com/,CA - San Jose,Liquid Cancer Biopsy
ACRO Biosystems,https://acrobiosystems.com.cn/,CA - San Jose,"ACROBiosystems | Delivering solutions such as proteins, antibodies, kits, GMP-grade reagents, and custom services to overcome challenges from discovery to the clinic."
Advansta,https://advansta.com/,CA - San Jose,Protein characterization products
AkrivisBio,https://www.akrivisbio.com/,CA - San Jose,"Assays, Chemicals"
Allay Therapeutics,https://www.allaytx.com/,CA - San Jose,Multi-week Localized Pain Management
Altus Life Science,https://altuslifescience.com/,CA - San Jose,Diagnostics & Genetic Tests
Anixa Biosciences,https://www.anixa.com/,CA - San Jose,"Diagnostics, CAR-T treatments"
Assay Biotechnology,https://assaybiotechnology.com/,CA - San Jose,"Antibodies, ELISA kits, Assays Kits, dyes, assay / antibody services"
Aurora Microplates,https://auroramicroplates.com/,CA - San Jose,Microplates
Becton Dickinson,https://www.bd.com/en-us,CA - San Jose,Lots of Biotechnology Products
BioJiva,https://biojiva.com/,CA - San Jose,
Biomed,https://www.biomedind.com/,CA - San Jose,Small molecule for neurological disorders
BridGene Biosciences,https://www.bridgenebio.com/,CA - San Jose,Small molecules that drug traditionally undruggable targets
BrightInsight,https://brightinsight.com/,CA - San Jose,Digital Health Platform
Broncus Medical,https://www.broncus.com/,CA - San Jose,"Virtual Bronchoscopic Navigation, Peripheral Lung Biopsy"
Cellsonics,https://cellsonics.com/,CA - San Jose,Single Cell Sample Prep
Cipherome,https://www.cipherome.com/,CA - San Jose,Genetic Screening for Ideal Treatments
Climax Laboratories,https://www.climaxlabs.com/,CA - San Jose,Bio-analytical services
Complete Genomics,https://www.completegenomics.com/,CA - San Jose,Genomic Studies
CPC Scientific,https://cpcscientific.com/,CA - San Jose,Peptides. Custom / Catalog.
Da Zen Theranostics,http://www.dazenthera.com,CA - San Jose,Cancer-targeting carrier dyes
Eargo,https://www.eargo.com/,CA - San Jose,Hearing Aids
EchoPixel,https://echopixeltech.com/,CA - San Jose,3D Surgical Imaging
Edge BioSystems,https://edgebio.com/en,CA - San Jose,Sequencing Dyes
Enviroflo,https://enviroflo.com/Welcome,CA - San Jose,Lab enclosures
Evident Vascular,https://evidentvascular.com/,CA - San Jose,Intravascular Ultrasound
FPrin,https://fprin.com/,CA - San Jose,Medical Device Consulting
Gener8,https://www.gener8.net/,CA - San Jose,"Medical Devices Prototyping, Engineering & Design; Biotech Consumables"
General Cardiac Technology,https://www.hearthugger.com,CA - San Jose,Sternum support harness
Handa Pharmaceuticals,http://handapharma.com/,CA - San Jose,Specialty pharmaceutical development - generic and 505(b)(2)
INOMIXO,https://www.inomixo.com/,CA - San Jose,Nano-LC Columns
Khloris Biosciences,https://www.khlorisbiosciences.com/,CA - San Jose,iPSC Library
LimFlow,https://limflow.com/,CA - San Jose,Critical Limb Ischemia Treatment
Lumenis,https://lumenis.com/,CA - San Jose,Energy-based medical treatments
Lykos Therapeutics,https://lykospbc.com/,CA - San Jose,Psychedelics
Medeologix,https://medeologix.com/,CA - San Jose,Contract development and manufacturing partner for minimally invasive devices
Meditrina,https://www.avetasystem.com/,CA - San Jose,Single-use device for treatment of intrauterine pathologies
MicroRite,https://www.microrite.com/,CA - San Jose,Consulting & Training
Molecular Devices,https://www.moleculardevices.com/,CA - San jose,"Biotechnology Lab Equipment, Machines, Servicing"
Neuspera Medical,https://neuspera.com/,CA - San Jose,Neurostimulation device
NeuTherX,https://www.neutherx.com/,CA - San Jose,Organoid Cultivation
Nodexus,https://nodexus.com/,CA - San Jose,"Platform to characterize, sort, and isolate single cells from biological samples"
OmniTier,https://omnitier.com/,CA - San Jose,High Performance Computing Solutions
OmRx Oncology,https://omrxonc.com/,CA - San Jose,Cancer Immunotherapy
Optra Health,https://www.optrahealth.com/,CA - San Jose,"Medical Devices and Lab Automation, Life Science Informatics, Knowledge Automation and Big Data solutions and services"
OptraScan,https://www.optrascan.com/,CA - San Jose,"Digital Slide Scanners, Software"
Outset Medical,https://www.outsetmedical.com/,CA - San Jose,Dialysis Device
Oxford BioTherapeutics,https://www.oxfordbiotherapeutics.com/,CA - San Jose,Antibody Therapies
Procept BioRobotics,https://www.procept-biorobotics.com/,CA - San Jose,Aquablation
QuanDx,https://quandx.com/,CA - San Jose,Molecular Diagnostics for Leukemia Fusion Genes
